Regency/Municipality 17,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Kabupaten/Kota Asal di Sumatera Selatan (Perjalanan),,,,,,,,,,,,
,2019,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
South Sumatera,1756928,1288593,1344390,1055304,783503,1185983,900464,1238033,1114810,1214681,1154104,1473775,14510568
Ogan Komering Ulu,68823,49717,51740,40632,31467,54363,39348,50447,43759,44715,46267,61707,582985
Ogan Komering Ilir,177024,128430,133991,102053,82745,106644,81235,115373,103174,108748,106956,142046,1388419
Muara Enim,125452,85386,89066,69301,54231,80168,56980,87349,74515,80073,75846,102966,981333
Lahat,71127,51446,53538,41691,30644,46975,33002,51696,46347,48099,47889,59169,581623
Musi Rawas,78811,56810,59323,45339,37132,55828,41214,55211,50165,53496,51790,67482,652601
Musi Banyuasin,187478,135118,137763,102824,92333,128603,97298,131159,118164,124883,119277,158213,1533113
Banyuasin,147895,114453,124585,95640,64545,91148,70471,102152,93075,105561,95233,119665,1224423
Ogan Komering Ulu Selatan,53844,39099,40446,32438,26926,39770,35192,46124,40776,40696,37604,46898,479813
Ogan Komering Ulu Timur,95343,70068,71685,56737,42733,66026,51767,69013,61796,62324,61194,80807,789493
Ogan Ilir,88605,61002,65828,52811,38825,47708,39554,56497,50642,56236,55364,68314,681386
Empat Lawang,40018,28637,29571,22484,17972,25129,19141,30645,29595,28615,26896,32661,331364
Pali,28504,19757,20963,16462,13599,17895,13142,18884,18595,20547,19008,23279,230635
Musi Rawas Utara,34532,25881,27390,20250,18396,23344,18528,23465,21362,23481,21618,29033,287280
Palembang,418359,315311,324502,263119,167358,293935,224633,291700,266913,317581,290995,356354,3530760
Prabumulih,44564,32376,33546,26859,20204,33110,20228,31437,27742,28781,28687,38954,366488
Pagar Alam,35886,26064,26466,22766,15167,22651,18004,27183,25526,25091,23292,29406,297502
Lubuk Linggau,60663,49038,53987,43898,29226,52686,40727,49698,42664,45754,46188,56821,571350
